"","Code","Firmnames","Return on Assets","Gross Margin","Assets/Equity","Asset Turnover","Return on Invested Capital","Tobin's Q Ratio","Profit Margin","Total GHG Emissions","Total Assets","Year"
"44",7,"BE US EQUITY"," -36.4434","-105.0871"," -10.0318","   0.1848"," -53.9996",NA,"-197.2381",NA," 944.5010","2015"
"45",7,"BE US EQUITY"," -26.0323"," -49.6255","  -4.6468","   0.1941"," -50.8460",NA,"-134.1028",NA,"1204.0470","2016"
"46",7,"BE US EQUITY"," -21.6573","  -4.7990","  -2.4389","   0.3101"," -41.2116",NA," -69.8409",NA,"1220.9870","2017"
"47",7,"BE US EQUITY"," -19.9462","  16.7155","  38.2735","   0.4613"," -31.5515","   1.8113"," -43.2373",NA,"1521.7940","2018"
"48",7,"BE US EQUITY"," -21.4046","  12.4287","  -7.8791","   0.5521"," -40.3751","   1.8799"," -38.7701",NA,"1322.5910","2019"
"49",7,"BE US EQUITY"," -11.3471","  20.8742","  10.2859","   0.5720"," -19.3399","   4.2165"," -19.8368",NA,"1454.3870","2020"
"50",8,"C US EQUITY","      0.3927",NA,"      8.7020","      0.0488","      1.8429","      0.9804","      8.0410","    924.2520","1842181.0000","2014"
"51",8,"C US EQUITY","9.65000e-01",NA,"7.76010e+00","4.94000e-02","3.43900e+00","9.69800e-01","1.95321e+01","8.37359e+02","1.73121e+06","2015"
"52",8,"C US EQUITY","      0.8465",NA,"      7.9245","      0.0473","      3.1419","      0.9771","     17.8996","    788.5530","1792077.0000","2016"
"53",8,"C US EQUITY","     -0.3741",NA,"      9.1359","      0.0490","      0.0863","      1.0053","     -7.6415","    721.3490","1842465.0000","2017"
"54",8,"C US EQUITY","      0.9599",NA,"      9.7293","      0.0517","      3.3133","      0.9716","     18.5801","    657.6520","1917383.0000","2018"
"55",8,"C US EQUITY","      1.0030",NA,"     10.0603","      0.0535","      3.5650","      0.9967","     18.7542","    616.9010","1951158.0000","2019"
"56",8,"C US EQUITY","      0.5400",NA,"     11.2721","      0.0422","      3.3625","      0.9770","     12.7984","    616.9010","2260321.0000","2020"
"57",9,"EQIX US EQUITY","  -3.3985","  50.9822","   3.4280","   0.3200"," -23.1539","   2.3530"," -10.6207",NA,"7781.9780","2014"
"58",9,"EQIX US EQUITY","    2.0704","   52.6204","    3.7724","    0.3006","    6.1947","    2.5481","    6.8886",NA,"10356.6950","2015"
"59",9,"EQIX US EQUITY","    1.1043","   49.5882","    2.8880","    0.3146","    4.2497","    2.6780","    3.5105"," 1536.2100","12608.3710","2016"
"60",9,"EQIX US EQUITY","    1.4887","   49.7955","    2.7288","    0.2791","    4.5711","    2.5500","    5.3333"," 1770.9300","18691.4570","2017"
"61",9,"EQIX US EQUITY","    1.8767","   48.6267","    2.8042","    0.2605","    4.5634","    2.0492","    7.2039"," 1963.0900","20244.6380","2018"
"62",9,"EQIX US EQUITY","    2.2956","   49.4766","    2.7109","    0.2516","    4.1419","    2.7089","    9.1233"," 2119.7000","23965.6150","2019"
