"","Firmnames","Year","Code.x","Return_on_Assets_bf","Gross_Margin_bf","AssetsEquityRatio_bf","Asset_Turnover_bf","Return_on_Invested_Capital_bf","Tobins_Q_Ratio_bf","Profit_Margin_bf","Total_GHG_Emissions_bf","Total_Assets_bf","Code.y","Cpn","Amount_Issued","Maturity","BBG_Composite","Maturity_Type","Currency","Cntry_of_Incorp","Green_Instrument_Indicator"
"32","AAPL US EQUITY",2020,1,15.6924,37.8178,3.741,0.7389,24.7611,3.6048,21.2381,912.667,338516,1,1.25,1.25e+09,"2030/8/20","AA+","CALLABLE","USD","US",0
"33","AAPL US EQUITY",2020,1,15.6924,37.8178,3.741,0.7389,24.7611,3.6048,21.2381,912.667,338516,1,0.55,1.25e+09,"2025/8/20","AA+","CALLABLE","USD","US",0
"34","AAPL US EQUITY",2020,1,15.6924,37.8178,3.741,0.7389,24.7611,3.6048,21.2381,912.667,338516,1,1.125,2.25e+09,"2025/5/11","AA+","CALLABLE","USD","US",0
"35","AAPL US EQUITY",2020,1,15.6924,37.8178,3.741,0.7389,24.7611,3.6048,21.2381,912.667,338516,1,1.65,1.75e+09,"2030/5/11","AA+","CALLABLE","USD","US",0
"36","AAPL US EQUITY",2020,1,15.6924,37.8178,3.741,0.7389,24.7611,3.6048,21.2381,912.667,338516,1,2.55,1.75e+09,"2060/8/20","AA+","CALLABLE","USD","US",0
"37","AAPL US EQUITY",2020,1,15.6924,37.8178,3.741,0.7389,24.7611,3.6048,21.2381,912.667,338516,1,2.4,1.25e+09,"2050/8/20","AA+","CALLABLE","USD","US",0
"125","EQIX US EQUITY",2017,9,1.4887,49.7955,2.7288,0.2791,4.5711,2.55,5.3333,1770.93,18691.457,9,2.875,1172360000,"2026/2/1","BBB-","CALLABLE","EUR","US",0
"126","EQIX US EQUITY",2017,9,1.4887,49.7955,2.7288,0.2791,4.5711,2.55,5.3333,1770.93,18691.457,9,5.375,1.25e+09,"2027/5/15","BBB-","CALLABLE","USD","US",0
"127","EQIX US EQUITY",2019,9,2.2956,49.4766,2.7109,0.2516,4.1419,2.7089,9.1233,2119.7,23965.615,9,3.2,1.2e+09,"2029/11/18","BBB-","CALLABLE","USD","US",0
"128","EQIX US EQUITY",2020,9,1.4509,48.7486,2.5396,0.2354,3.1827,2.9634,6.1644,2119.7,27006.841,9,3,5e+08,"2050/7/15","BBB-","CALLABLE","USD","US",0
